Region,Division,FC score,SC score,Coupling score
lOB,Tel,-3.6126482468213834,-1.460676225356495,-2.5366622360889393
lP,Tel,-2.386496663848866,-3.4131691850875923,-2.899832924468229
lPO,Tel,-1.7952613097363577,-1.7073671180147547,-1.7513142138755562
lSP,Tel,-2.4974694612854083,-3.119764730418842,-2.8086170958521253
rP,Tel,-2.3216620947695836,-3.3614707853623,-2.8415664400659417
rPO,Tel,-2.0098428597602074,-1.6808805987684001,-1.8453617292643036
rSP,Tel,-2.9164567865565334,-1.9908647891957518,-2.4536607878761427
lHb,Di,-2.316617699618946,-2.4347398912143583,-2.3756787954166523
lPT,Di,1.1046580176564804,0.15581841726409437,0.6302382174602874
lPrT,Di,1.310334871336786,0.4123426387998321,0.861338755068309
lTh,Di,-0.010875628822763796,-0.29370596514318265,-0.1522907969829732
rHb,Di,-2.9280823639983757,-2.378441475433636,-2.653261919716006
rPT,Di,-0.0366630984562746,-0.7074538111376782,-0.3720584547969764
rPrT,Di,0.602725296019314,0.08647170584460187,0.34459850093195793
rTh,Di,-0.9682544691359926,-0.3825333838562911,-0.6753939264961418
lTS,Mes,-0.42836704966773925,-0.8681229979824595,-0.6482450238250994
lTeO,Mes,0.10935424824710996,-0.5599969814479209,-0.22532136660040547
rTS,Mes,-1.299552562525287,-2.660486627898031,-1.980019595211659
rTeO,Mes,0.16307394149466986,0.0760771759715171,0.11957555873309347
lCb,Hind,0.44420210500882595,-0.29129022620333356,0.0764559394027462
lMON,Hind,-0.47073290572990856,1.4571717478769657,0.49321942107352856
lMOS1,Hind,0.45114939103178214,2.443194377091124,1.4471718840614531
lMOS2,Hind,0.5912834472278983,0.991229990977023,0.7912567191024606
lMOS3,Hind,-0.15847425477489155,0.4068242048163687,0.12417497502073858
lMOS4,Hind,2.1004183678589117,-0.9286501417277813,0.5858841130655652
lMOS5,Hind,0.7282266206422372,1.0326842353809618,0.8804554280115995
lNX,Hind,0.8962354877181047,1.5708216000044812,1.233528543861293
lRa,Hind,0.9429107792575598,0.8865635481073834,0.9147371636824716
lT,Hind,0.8331410791624378,0.16138990527012265,0.49726549221628025
laRF,Hind,1.1210712635346087,0.4261138413108475,0.7735925524227281
limRF,Hind,1.022983481759906,1.629384108498225,1.3261837951290656
lpRF,Hind,-0.02918177286790433,2.005756338111623,0.9882872826218594
rCb,Hind,1.1127544434700622,0.09635484929103387,0.604554646380548
rMON,Hind,-0.26633598391582075,1.854031076272917,0.7938475461785481
rMOS1,Hind,0.9243964760325308,2.030389527251703,1.477393001642117
rMOS2,Hind,1.86505702183948,0.8783728598758299,1.371714940857655
rMOS3,Hind,0.5261668747034401,1.5574217295139696,1.0417943021087048
rMOS4,Hind,1.5400523890033753,-0.3208551066727024,0.6095986411653365
rMOS5,Hind,1.0001210610272395,0.4768228109571876,0.7384719359922136
rNX,Hind,1.450392464516954,2.712260903805679,2.0813266841613163
rRa,Hind,0.07131952300724867,0.7754705507848663,0.42339503689605745
rT,Hind,1.3656595872208566,0.8346156035006452,1.1001375953607508
raRF,Hind,1.7638053170232042,-0.5085072291335038,0.6276490439448502
rimRF,Hind,2.08915825463937,2.0459145475286555,2.0675364010840127
rpRF,Hind,0.32232340185185065,2.0654789759473555,1.1939011888996032
